2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 74 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 75 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 76 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 77 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 78 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 79 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 80 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 81 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 82 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 83 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 84 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 85 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 86 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 87 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 88 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 89 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 90 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 91 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 92 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 93 failed: 'NoneType' object has no attribute 'has'
