2026-01-04 09:51:45 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 135s)
2026-01-04 09:51:45 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:45 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:XRP/USDC:USDC:3m:100:
2026-01-04 09:51:45 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): XRP/USDC:USDC 3m (close in 134s)
2026-01-04 09:51:45 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching XRP/USDC:USDC 3m...
2026-01-04 09:51:46 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:46 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 134s)
2026-01-04 09:51:46 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:46 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:KPEPE/USDC:USDC:3m:100:
2026-01-04 09:51:46 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): KPEPE/USDC:USDC 3m (close in 134s)
2026-01-04 09:51:46 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching KPEPE/USDC:USDC 3m...
2026-01-04 09:51:46 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:46 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 133s)
2026-01-04 09:51:46 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:47 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:47 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 133s)
2026-01-04 09:51:47 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:47 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:47 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 133s)
2026-01-04 09:51:47 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:47 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:XRP/USDC:USDC:3m:100:
2026-01-04 09:51:47 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): XRP/USDC:USDC 3m (close in 133s)
2026-01-04 09:51:47 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching XRP/USDC:USDC 3m...
2026-01-04 09:51:48 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:48 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 131s)
2026-01-04 09:51:48 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:48 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:48 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 131s)
2026-01-04 09:51:48 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:48 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:XRP/USDC:USDC:3m:100:
2026-01-04 09:51:48 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): XRP/USDC:USDC 3m (close in 131s)
2026-01-04 09:51:48 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching XRP/USDC:USDC 3m...
2026-01-04 09:51:49 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:49 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 131s)
2026-01-04 09:51:49 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:49 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:49 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 131s)
2026-01-04 09:51:49 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:50 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:50 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 130s)
2026-01-04 09:51:50 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:50 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:50 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 130s)
2026-01-04 09:51:50 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 129s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 129s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:MON/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): MON/USDC:USDC 3m (close in 129s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching MON/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:PUMP/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): PUMP/USDC:USDC 3m (close in 129s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching PUMP/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:XRP/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): XRP/USDC:USDC 3m (close in 129s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching XRP/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 128s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 128s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:51 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:PUMP/USDC:USDC:3m:100:
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): PUMP/USDC:USDC 3m (close in 128s)
2026-01-04 09:51:51 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching PUMP/USDC:USDC 3m...
2026-01-04 09:51:52 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:52 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 128s)
2026-01-04 09:51:52 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:53 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 126s)
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:53 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 126s)
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:53 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 126s)
